Internal NodeID, SouthAmerica, WesternEurope, EastAfrica, SouthernAfrica, CentralAfrica, Asia, CentralAmerica, SouthernEurope, EasternEurope, HornOfAfrica, NorthernEurope, WestAfrica, SouthAfrica, NorthAmerica
Node11, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node6, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node5, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node18, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0
Node24, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node27, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node29, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node28, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node26, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node23, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node30, 0.0, 0.0, 0.0, 0.33333333, 0.33333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33333333, 0.0
Node22, 0.0, 0.0, 0.0, 0.33333333, 0.33333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33333333, 0.0
Node21, 0.0, 0.0, 0.0, 0.33333333, 0.33333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33333333, 0.0
Node32, 0.0, 0.0, 0.0, 0.50000000, 0.50000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node31, 0.0, 0.0, 0.0, 0.50000000, 0.50000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node20, 0.0, 0.0, 0.0, 0.50000000, 0.50000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node35, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node34, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node41, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Node42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0
Node40, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0
Node44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0
Node43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0
Node39, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.00000000, 0.0, 0.0, 0.0, 0.0
